timestamp (ms), x (G), y (G), z (G)
44,4.11,2.54,2.54
55,3.71,2.15,4.11
66,3.71,2.93,3.32
77,1.76,3.32,4.50
88,3.71,1.37,2.93
99,2.15,2.15,3.32
110,2.93,2.15,4.11
121,2.93,0.98,2.15
132,3.71,2.15,4.50
143,2.54,2.93,2.54
154,4.50,3.32,3.71
165,2.54,1.76,3.71
176,3.71,2.93,4.11
187,2.54,2.54,2.54
198,3.71,2.15,3.32
209,4.11,1.76,4.50
220,4.11,2.54,3.71
231,4.11,1.37,2.15
242,2.54,3.32,4.50
253,3.71,1.37,2.54
264,3.71,3.71,3.71
275,2.15,2.15,3.32
286,2.15,3.32,2.54
297,2.54,3.71,3.71
308,2.54,2.54,4.11
322,2.93,2.93,4.11
333,2.93,2.54,3.32
344,3.71,2.93,4.50
355,2.54,1.37,2.93
366,4.11,3.32,3.32
377,3.71,3.32,3.32
388,2.54,2.54,2.93
399,2.93,3.32,2.54
410,3.71,1.37,2.54
421,4.11,1.37,2.54
432,2.54,2.93,3.32
443,2.15,3.32,2.54
454,4.11,1.76,1.76
465,2.15,1.76,2.54
476,3.32,1.37,2.54
488,4.50,3.32,3.71
499,4.11,1.76,2.15
510,3.71,1.76,2.54
521,4.11,3.32,3.71
532,3.32,1.76,3.32
543,4.50,1.76,2.93
554,2.15,3.71,3.32
565,2.93,1.76,4.50
576,2.54,0.98,4.50
587,2.93,2.54,3.32
600,2.54,3.32,2.15
611,3.71,1.37,2.54
622,2.15,3.32,4.11
633,2.54,2.93,3.71
645,2.15,3.71,2.54
656,4.11,1.37,2.93
667,4.11,2.15,4.11
678,2.15,1.37,4.11
689,4.11,1.37,2.93
700,4.11,3.71,4.11
711,3.71,2.54,2.93
722,2.54,2.54,2.54
733,2.54,1.37,4.11
744,3.32,1.37,2.93
755,2.15,1.37,3.32
766,3.32,2.54,3.32
777,4.50,1.37,2.93
788,2.54,1.76,2.15
799,4.11,1.76,2.15
810,3.32,3.32,2.54
821,2.54,1.37,4.11
832,3.71,1.76,2.54
843,2.54,3.32,4.11
854,4.11,3.32,3.32
865,2.93,1.76,4.11
876,2.15,1.76,4.11
890,4.11,2.15,3.71
901,3.32,0.98,2.54
912,4.11,2.15,2.93
923,4.11,1.37,3.71
934,4.11,2.15,3.71
945,2.15,1.37,2.93
956,4.50,3.71,2.93
967,2.54,2.93,4.11
978,2.54,1.76,4.11
989,2.93,2.93,2.54
1000,2.15,2.93,2.93
1011,4.11,1.37,3.32
1022,2.15,1.76,4.11
1033,2.93,2.54,3.71
1044,2.93,3.32,2.93
1055,4.11,2.54,4.50
1066,3.71,2.54,4.50
1077,2.54,1.37,4.11
1088,3.32,2.54,2.93
1099,3.32,2.54,2.54
1110,2.54,2.15,4.11
1121,2.93,2.15,2.15
1132,2.54,1.76,2.54
1143,2.93,2.93,2.93
1154,3.71,1.37,4.11
1168,4.50,2.15,4.50
1179,3.71,2.15,3.32
1190,3.71,1.76,4.11
1201,2.54,2.93,3.71
1212,2.93,2.54,4.50
1223,3.32,1.76,4.50
1234,2.93,3.71,2.93
1245,2.15,2.15,4.11
1256,2.93,3.71,4.89
1267,3.32,1.37,2.93
1278,2.54,2.54,2.93
1289,3.32,2.15,3.32
1300,4.11,3.32,4.11
1311,2.15,1.76,2.93
1322,4.11,2.93,2.93
1333,2.54,2.93,3.71
1344,4.50,1.76,3.32
1356,4.11,1.76,3.32
1367,4.11,2.93,2.15
1378,3.71,1.76,3.71
1389,3.71,2.54,2.93
1400,2.54,3.32,3.71
1411,4.89,1.37,4.50
1422,2.15,3.71,4.11
1435,4.11,1.76,3.71
1446,4.50,2.54,2.93
1457,4.11,3.71,3.32
1468,2.15,3.71,2.93
1479,3.71,1.76,3.71
1490,4.11,1.37,2.15
1501,2.93,3.32,4.11
1512,2.93,1.37,2.54
1524,3.71,2.54,4.11
1535,2.93,1.76,4.11
1546,4.11,0.98,2.54
1557,3.71,0.98,2.93
1568,3.32,2.54,3.71
1579,4.11,0.98,2.54
1590,4.11,2.93,4.11
1601,4.11,1.76,3.71
1612,3.71,2.54,2.93
1623,4.11,1.76,4.11
1634,2.54,2.93,2.15
1645,2.54,2.54,2.54
1656,2.15,3.71,4.11
1667,2.93,2.93,2.93
1678,4.50,1.76,3.71
1689,4.50,1.76,2.93
1703,2.54,3.71,2.54
1714,2.93,2.54,4.11
1725,2.15,1.37,4.11
1736,4.11,0.98,4.11
1747,2.15,3.32,2.15
1758,2.15,2.15,4.11
1769,3.71,2.15,2.93
1780,2.15,3.32,2.54
1791,1.76,2.93,4.50
1802,2.15,2.93,4.11
1813,2.93,2.93,4.50
1824,2.54,1.37,3.32
1835,2.93,2.15,2.54
1846,2.93,2.54,4.11
1857,2.15,3.32,4.50
1868,2.54,3.32,2.93
1879,3.32,1.76,2.54
1890,2.93,1.76,2.54
1901,4.11,1.76,2.93
1912,3.71,1.37,2.54
1923,2.15,3.32,4.50
1934,3.71,2.15,4.11
1945,2.54,3.32,2.54
1956,2.15,1.76,3.32
1967,4.50,1.37,4.50
1981,3.32,1.76,2.54
1992,2.93,1.37,3.32
2003,2.15,2.54,2.54
2014,2.93,3.32,2.93
2025,3.32,2.54,4.11
2036,3.71,1.76,2.54
2047,4.11,1.37,2.93
2058,2.93,3.32,3.32
2069,2.15,2.15,2.15
2080,3.32,3.32,2.54
2091,4.11,1.37,4.11
2102,2.54,1.76,2.15
2113,2.15,2.15,2.54
2124,2.54,2.93,2.54
2135,2.93,2.93,4.11
2146,2.93,2.15,4.11
2157,3.32,1.76,3.71
2168,2.54,2.15,4.11
2180,4.11,2.15,4.50
2191,3.71,1.76,3.32
2202,3.71,1.76,4.50
2213,2.93,2.93,2.54
2224,3.71,2.54,3.32
2235,3.71,2.93,2.93
2248,2.54,2.93,4.11
2259,2.54,2.93,2.93
2270,3.71,0.98,2.54
2281,2.54,1.37,2.93
2292,2.15,2.15,3.71
2303,1.76,2.15,2.93
2314,3.71,1.37,4.11
2325,4.11,3.32,2.54
2336,3.71,1.37,2.54
2347,3.32,1.37,3.32
2359,2.93,2.15,4.11
2370,3.71,3.32,3.32
2381,4.11,2.93,4.11
2392,2.15,2.93,2.54
2403,4.11,1.76,4.50
2414,3.71,2.93,2.93
2425,4.11,2.15,2.93
2436,2.54,1.37,4.11
2447,2.15,2.93,2.54
2458,4.11,2.15,2.54
2469,3.32,2.54,2.93
2480,4.11,1.76,2.54
2491,4.50,2.93,2.54
2502,4.11,3.32,4.11
2513,3.71,2.93,3.71
2526,3.32,2.54,2.15
2538,4.11,2.93,2.93
2549,2.54,2.15,4.50
2560,3.32,1.76,3.32
2571,3.71,1.76,4.11
2582,4.11,2.15,4.11
2593,3.71,3.32,2.15
2604,2.93,3.32,2.93
2615,2.54,1.76,4.50
2626,4.11,2.93,2.93
2637,2.54,3.71,4.11
2648,2.93,2.93,4.50
2659,3.32,2.15,4.11
2670,4.11,1.76,2.93
2681,4.11,2.15,2.54
2692,3.32,1.37,3.32
2703,3.32,3.32,2.93
2714,4.11,3.32,2.15
2725,3.71,1.37,3.71
2736,3.32,3.32,3.32
2747,3.32,1.76,2.54
2758,2.15,2.93,4.50
2769,2.15,2.54,2.54
2780,2.15,1.37,3.71
2794,4.11,1.37,4.11
2805,3.71,1.37,4.50
2816,2.54,1.76,2.54
2827,2.93,0.98,2.54
2838,3.71,2.93,2.93
2849,3.71,1.76,4.11
2860,3.32,1.76,2.54
2871,3.32,1.76,4.11
2882,4.11,1.37,4.11
2893,2.15,3.32,2.93
2904,4.11,1.76,4.11
2915,2.15,3.32,3.32
2926,4.11,2.15,3.32
2937,4.11,1.37,3.32
2948,4.11,1.37,4.50
2959,3.71,3.32,2.54
2970,2.15,2.54,3.32
2981,2.15,1.37,4.11
2992,2.15,2.93,3.71
3003,2.54,3.32,2.54
3014,2.54,1.37,3.32
3026,4.11,2.15,2.54
3037,4.11,1.37,3.32
3048,2.54,3.32,4.50
3065,2.54,2.93,4.11
3076,3.71,2.15,4.11
3087,2.54,3.32,2.54
3098,2.15,1.76,2.54
3109,4.11,3.32,4.11
3120,2.54,3.32,2.93
3131,3.71,1.37,2.54
3142,4.11,2.15,3.32
3153,2.93,2.15,4.11
3164,2.54,2.93,2.54
3175,4.11,2.15,2.93
3186,3.32,1.37,2.54
3197,4.11,2.15,2.54
3208,2.15,2.54,2.54
3219,2.93,2.54,2.54
3230,2.93,2.93,2.54
3241,3.32,1.37,4.50
3252,4.11,1.76,4.11
3263,2.54,2.15,2.54
3274,3.71,3.32,2.93
3285,2.54,2.54,3.71
3296,4.11,1.76,4.11
3307,2.15,1.37,4.11
3318,3.32,2.54,2.93
3329,2.93,2.15,2.54
3343,2.15,1.37,4.50
3354,4.11,0.98,4.50
3365,4.50,1.37,2.54
3376,4.11,0.98,2.54
3387,4.11,3.32,2.15
3398,2.54,2.54,2.54
3409,2.54,3.32,4.11
3420,2.93,2.54,3.32
3431,2.54,1.76,4.11
3442,2.54,2.15,2.54
3453,3.32,2.54,3.71
3464,3.71,3.32,2.54
3475,3.32,1.76,4.50
3486,4.11,1.37,2.54
3497,2.54,0.98,2.93
3508,3.71,2.93,2.93
3519,2.15,2.15,4.50
3531,4.11,3.32,4.11
3542,2.54,2.15,3.32
3553,2.93,1.76,4.11
3564,3.71,1.37,3.71
3575,3.71,2.15,4.50
3586,2.93,3.32,4.11
3597,4.50,3.32,4.11
3610,4.11,1.76,3.32
3621,4.11,2.93,3.32
3632,4.11,2.93,4.50
3643,2.93,1.76,3.71
3654,4.11,3.32,3.32
3665,3.71,1.37,4.11
3676,2.54,3.32,3.71
3688,4.11,1.37,2.54
3699,4.50,3.71,3.32
3710,2.15,2.15,4.11
3721,4.11,3.32,2.93
3732,2.54,2.15,2.54
3743,2.54,2.15,2.54
3754,4.50,2.54,2.54
3765,2.93,2.15,2.54
3776,4.50,2.93,2.93
3787,4.11,0.98,2.54
3798,4.11,1.76,4.50
3809,2.54,3.32,2.54
3820,2.54,2.15,2.93
3831,3.71,1.37,2.93
3842,3.71,3.71,2.54
3853,2.15,2.93,2.15
3864,2.93,2.15,4.11
3878,3.32,1.37,3.32
3889,2.54,1.37,2.15
3900,4.11,2.93,3.32
3911,4.11,2.15,2.54
3922,4.11,1.37,2.93
3933,3.71,1.37,4.11
3944,4.11,1.37,3.32
3955,2.93,1.76,3.32
3966,2.93,1.76,2.93
3977,3.32,3.32,4.11
3988,4.11,3.32,2.93
3999,3.32,2.15,2.93
4010,2.54,2.54,4.11
4021,2.93,3.71,2.15
4032,3.32,3.71,3.71
4043,4.11,3.32,3.32
4054,4.11,1.76,2.93
4065,4.11,2.93,2.93
4076,4.50,1.76,3.32
4087,2.15,2.93,2.93
4098,2.93,1.76,2.93
4109,4.11,2.54,4.11
4120,3.71,3.32,2.93
4131,2.15,3.32,2.54
4142,3.71,2.93,2.15
4156,3.71,1.76,2.93
4167,4.50,1.37,4.50
4178,1.76,3.32,4.11
4189,2.93,3.71,4.11
4200,4.11,2.15,2.93
4211,3.32,3.32,2.93
4222,3.71,2.93,2.54
4233,2.15,2.15,2.54
