timestamp (ms), x (G), y (G), z (G)
36,2.54,1.76,-198.04
57,2.93,2.93,-199.22
78,3.32,1.37,-198.83
99,2.15,1.76,-198.04
120,2.93,1.37,-197.65
141,2.93,1.37,-198.44
163,2.93,2.93,-198.83
184,2.93,2.15,-197.65
205,2.15,1.76,-198.04
226,2.93,2.54,-199.22
247,3.71,2.54,-198.83
268,2.15,0.98,-198.83
289,3.32,3.71,-198.83
310,3.71,2.15,-198.04
331,3.32,3.32,-198.04
352,2.15,2.93,-199.22
373,2.93,2.15,-198.04
395,2.54,2.93,-198.83
416,3.71,3.32,-198.83
437,2.54,2.54,-198.04
458,3.32,2.15,-198.83
482,2.15,1.37,-198.44
503,3.32,1.37,-198.04
524,2.15,1.76,-198.83
545,2.54,2.15,-199.22
566,3.32,3.32,-199.22
587,3.32,0.59,-198.04
608,3.32,2.54,-198.04
629,2.93,2.15,-198.44
650,1.76,1.76,-198.83
671,2.15,2.93,-197.65
693,2.54,3.32,-198.83
714,2.15,3.71,-198.83
735,3.32,0.98,-199.22
756,3.32,1.37,-198.44
777,2.93,1.37,-198.04
798,2.93,3.71,-197.65
819,2.54,2.15,-198.04
840,2.54,3.32,-197.65
861,2.54,1.37,-197.65
882,3.32,2.93,-198.83
903,2.15,1.37,-199.22
925,2.15,0.98,-198.04
946,2.54,2.15,-197.65
969,3.71,1.76,-198.04
990,1.76,2.54,-199.22
1012,2.15,2.93,-198.83
1033,2.93,1.76,-198.83
1054,3.32,1.76,-198.04
1075,2.54,3.71,-199.22
1096,3.71,1.37,-198.44
1117,3.71,2.93,-197.65
1138,2.93,1.37,-198.83
1159,2.93,1.37,-198.83
1180,3.32,2.15,-198.04
1201,3.71,3.32,-198.83
1222,3.32,3.32,-198.04
1244,2.93,3.32,-198.83
1265,1.76,2.54,-199.22
1286,2.54,2.15,-198.04
1307,2.93,1.37,-198.04
1328,2.15,2.15,-198.44
1349,2.54,2.93,-198.44
1370,2.93,0.98,-198.83
1391,3.32,1.76,-199.22
1415,4.11,3.71,-198.83
1436,2.93,1.76,-198.04
1457,2.54,1.76,-198.83
1478,3.71,2.93,-198.83
1500,2.15,1.76,-198.83
1521,3.32,2.93,-198.83
1542,2.93,3.32,-199.22
1563,3.32,2.54,-199.22
1584,2.15,2.15,-198.83
1605,3.71,1.37,-198.04
1626,2.15,2.93,-198.44
1648,2.54,1.76,-198.83
1669,2.93,1.37,-198.44
1690,3.71,2.93,-198.04
1711,2.15,1.76,-199.22
1732,3.71,2.15,-198.04
1753,3.71,4.11,-198.83
1774,4.11,2.54,-198.83
1795,2.15,1.76,-199.22
1817,2.93,3.71,-198.04
1838,3.32,2.54,-199.22
1861,2.54,2.93,-198.44
1883,3.32,1.37,-198.83
1904,2.54,1.37,-198.83
1925,2.93,3.32,-198.04
1946,3.71,2.15,-199.22
1967,3.32,1.37,-198.04
1988,3.32,4.11,-199.22
2009,3.32,1.37,-199.22
2031,2.15,1.37,-198.04
2052,2.15,3.32,-197.65
2073,3.32,1.37,-198.44
