timestamp (ms), x (G), y (G), z (G)
228,2.54,1.76,3.32
240,2.93,1.37,2.93
251,3.71,2.93,3.32
262,2.15,2.54,2.54
273,2.15,1.76,4.50
284,4.50,2.93,2.15
295,4.11,2.93,2.15
306,2.15,2.15,2.15
317,3.71,2.15,4.11
328,3.32,1.37,4.11
339,2.93,2.54,4.50
350,3.32,3.32,3.71
361,4.11,2.15,2.54
372,4.11,2.15,3.71
383,2.15,2.93,4.50
394,2.93,1.37,2.54
405,2.93,3.71,2.15
416,2.15,3.32,2.93
427,3.32,2.15,2.93
438,4.11,2.93,3.71
449,1.76,1.76,4.11
460,2.15,2.15,2.54
471,2.93,1.76,4.89
482,3.71,2.93,2.54
496,4.11,1.37,2.93
507,4.11,2.93,2.54
518,4.50,2.93,4.50
529,3.32,2.54,2.15
540,4.11,3.32,4.11
551,3.32,3.32,3.32
562,4.50,1.76,2.15
573,4.11,2.54,2.15
584,3.32,3.32,3.71
595,2.54,3.32,2.93
606,4.11,1.37,2.54
617,4.50,1.76,2.93
628,3.32,3.32,2.93
639,2.54,3.32,3.71
650,3.71,3.32,2.15
661,4.50,2.15,4.11
672,3.71,1.76,2.54
683,4.50,1.37,2.93
694,2.54,3.71,2.15
705,3.71,2.93,2.93
716,3.71,3.71,4.50
727,4.11,2.54,2.93
738,2.54,1.37,3.32
749,3.71,3.32,3.32
760,2.93,0.98,4.50
771,2.93,1.37,4.50
785,4.50,3.71,4.11
796,3.71,3.71,4.11
807,3.71,1.37,2.54
818,2.15,3.71,2.15
829,2.15,3.32,2.54
840,3.32,2.93,2.93
851,4.11,2.54,4.11
862,4.11,2.54,3.71
873,4.11,3.71,3.32
884,3.71,2.15,2.54
895,2.54,2.15,1.76
906,2.93,1.37,3.71
917,2.54,1.76,4.50
928,2.15,2.93,2.15
939,3.32,1.76,3.71
950,3.32,2.54,3.71
961,4.11,2.54,4.50
972,2.93,3.32,2.54
983,2.54,1.37,2.93
994,4.50,1.76,3.32
1005,2.15,2.15,4.11
1016,4.50,3.32,3.32
1027,2.15,2.54,3.32
1038,3.32,3.32,3.71
1049,2.54,3.32,4.50
1063,4.11,1.76,4.50
1074,4.11,4.11,2.93
1085,4.50,4.11,2.93
1096,2.54,3.32,1.76
1107,3.32,1.37,4.11
1118,4.11,1.37,2.15
1129,1.76,1.76,4.11
1140,2.15,2.93,3.32
1151,1.76,1.37,4.50
1162,4.50,0.98,3.32
1173,3.32,2.15,4.11
1184,3.71,2.54,2.54
1195,2.54,3.32,4.11
1206,2.54,2.15,4.50
1217,4.11,2.54,2.93
1228,2.54,2.15,3.32
1239,1.76,3.32,2.93
1250,4.50,3.32,4.11
1261,2.54,3.32,4.11
1272,3.71,2.54,4.50
1283,4.50,3.71,3.71
1294,4.11,1.37,2.93
1305,3.32,2.54,4.50
1316,2.54,1.76,4.50
1327,2.93,3.71,3.32
1341,1.76,3.32,4.50
1352,2.54,2.93,3.32
1363,3.32,2.93,3.71
1374,1.76,3.71,2.15
1385,3.32,1.37,2.93
1396,3.32,0.98,3.32
1407,4.11,3.32,4.11
1418,2.54,2.15,2.54
1429,4.11,3.32,3.71
1440,3.32,1.37,3.32
1451,2.54,4.11,4.50
1462,4.50,3.32,3.71
1473,2.15,2.93,3.71
1484,2.54,3.32,2.93
1495,3.71,1.37,4.11
1506,3.71,3.32,3.71
1517,2.15,2.15,3.71
1528,2.93,1.37,3.71
1539,3.71,3.32,3.71
1551,3.32,1.37,3.71
1562,4.50,1.37,2.15
1573,2.15,3.32,4.50
1584,2.54,2.15,4.11
1595,2.15,2.54,2.93
1608,3.32,1.37,2.93
1619,2.15,1.76,3.71
1630,2.15,2.93,4.11
1641,3.32,2.93,2.93
1652,4.50,3.71,2.54
1663,2.54,2.93,3.71
1674,2.15,1.37,2.15
1685,2.93,2.93,4.11
1696,2.15,2.15,2.54
1708,2.93,0.98,4.50
1719,2.54,3.71,2.15
1730,4.50,1.76,4.11
1741,4.11,0.98,3.32
1752,2.54,2.54,2.54
1763,2.15,2.54,2.54
1774,2.93,1.76,2.15
1785,3.32,3.32,2.54
1796,2.93,2.93,3.32
1807,4.11,1.37,4.11
1818,3.32,0.98,2.15
1829,4.11,2.15,4.11
1840,2.15,1.76,4.50
1851,2.93,2.15,4.50
1862,3.71,2.54,3.32
1875,3.32,1.37,4.11
1886,3.71,1.37,3.32
1897,4.11,2.93,4.11
1909,3.32,2.54,2.54
1920,3.32,1.76,3.32
1931,2.54,1.76,2.54
1942,4.11,2.15,4.11
1953,3.32,3.32,2.54
1964,1.76,1.76,2.15
1975,4.11,1.37,2.15
1986,2.15,2.15,2.15
1997,3.71,1.76,3.71
2008,2.15,3.71,4.11
2019,1.76,3.32,2.54
2030,2.93,1.76,2.15
2041,3.71,1.37,2.15
2052,2.15,0.98,3.71
2063,4.50,2.15,3.32
