timestamp (ms), x (G), y (G), z (G)
228,3.32,2.15,2.93
239,3.71,2.54,3.32
250,2.54,2.93,3.32
261,3.71,2.54,3.71
272,3.71,2.54,3.32
283,3.32,2.93,2.93
294,2.54,2.15,3.32
305,3.71,2.54,2.93
316,3.71,2.15,2.93
327,3.71,2.54,4.11
338,3.32,2.93,3.71
349,3.71,2.15,3.71
360,3.32,2.54,3.32
371,2.93,2.54,3.71
382,3.71,2.93,2.93
393,3.71,2.54,2.93
404,3.32,2.54,3.32
415,3.71,2.54,3.71
426,2.93,2.54,3.32
437,3.71,2.15,3.32
448,2.93,2.54,3.32
459,3.32,1.76,2.93
470,2.93,2.93,2.93
481,2.93,2.15,3.32
495,3.32,2.15,3.71
506,2.93,1.76,4.11
517,2.93,2.15,3.71
528,4.11,2.15,2.93
539,2.93,2.15,3.71
550,2.93,2.15,3.71
561,3.71,1.76,2.93
572,2.93,2.93,3.32
583,3.71,1.76,2.93
594,4.11,2.93,3.71
605,2.54,2.93,3.32
616,2.15,2.93,4.11
627,3.71,2.15,3.71
638,3.32,2.93,2.93
649,2.93,2.15,2.93
660,3.32,2.15,3.71
671,3.32,2.54,2.93
682,3.32,2.15,3.71
693,3.71,2.54,2.93
704,3.71,2.93,3.71
715,2.93,1.76,3.71
726,2.93,2.93,2.93
737,2.93,1.76,4.11
748,2.54,2.15,2.93
759,2.93,2.54,2.93
770,2.93,2.15,3.71
784,3.71,2.15,3.71
795,2.93,2.54,2.93
806,3.71,3.32,4.11
817,3.32,2.93,3.32
828,2.54,2.54,2.93
839,3.71,1.76,3.32
850,2.54,2.54,3.32
861,3.71,2.93,3.32
872,2.93,1.76,2.54
883,2.93,2.93,3.71
894,4.11,1.76,2.93
905,3.71,2.54,3.71
916,2.93,2.54,3.71
927,4.11,2.54,3.71
938,2.93,2.15,2.54
949,3.71,2.93,3.71
960,2.54,1.76,2.93
971,3.32,2.54,2.93
983,3.71,2.54,3.71
994,3.32,2.54,3.32
1005,3.32,2.15,2.93
1016,2.93,2.93,3.71
1027,3.32,2.15,4.11
1038,3.32,2.15,3.32
1049,4.11,2.15,3.71
1062,3.32,2.93,3.32
1073,2.93,2.15,2.93
1084,3.71,2.54,2.54
1095,3.71,2.93,3.32
1106,3.32,2.15,2.93
1117,3.32,2.15,2.93
1129,3.32,2.54,3.71
1140,3.71,2.15,2.93
1151,3.32,2.93,3.32
1162,2.93,2.15,3.71
1173,3.32,2.54,3.71
1184,3.32,2.15,3.32
1195,3.32,2.54,3.32
1206,2.93,2.93,3.32
1217,3.71,2.15,3.71
1228,3.32,2.93,2.93
1239,4.11,2.54,2.93
1250,3.32,2.54,2.93
1261,3.32,2.15,3.32
1272,3.32,2.15,3.32
1283,2.93,2.54,3.32
1294,3.32,2.54,2.93
1305,3.32,2.54,3.32
1316,2.93,2.15,2.93
1327,2.93,1.76,3.32
1341,3.32,2.15,3.71
1352,3.71,2.15,3.32
1363,3.32,1.76,3.32
1374,2.93,2.54,4.11
1385,3.32,2.93,3.71
1396,3.71,2.54,2.93
1407,2.54,2.54,3.71
1418,3.71,2.15,3.32
1429,2.93,2.54,3.32
1440,3.71,2.15,2.93
1451,3.71,2.54,3.32
1462,3.32,2.54,2.93
1473,2.93,2.15,3.32
1484,2.93,2.15,3.71
1495,3.32,2.15,3.32
1506,3.71,2.15,3.71
1517,3.71,2.54,3.32
1528,3.71,1.76,3.32
1539,3.32,1.76,3.71
1550,3.32,2.15,3.32
1561,3.32,2.15,3.32
1572,2.93,2.15,3.32
1583,3.71,2.54,3.71
1594,3.32,2.15,3.32
1608,3.32,2.15,2.93
1619,3.32,2.15,3.32
1630,3.32,2.54,3.71
1641,3.71,2.54,2.93
1652,2.93,2.54,2.93
1663,3.32,2.15,2.93
1674,3.32,2.54,3.32
1685,3.32,2.15,2.93
1696,2.54,2.15,2.93
1707,3.32,2.15,3.32
1718,2.93,2.54,2.93
