timestamp (ms), x (G), y (G), z (G)
4742,4.89,2.15,1.76
4763,5.28,1.37,4.11
4784,4.50,2.93,3.71
4806,4.89,1.37,4.50
4827,4.89,3.71,2.93
4848,3.32,3.32,1.76
4871,2.93,2.54,2.93
4892,1.76,1.37,2.15
4913,2.93,2.54,4.89
4934,4.50,1.37,2.93
4955,4.11,2.54,3.32
4976,3.32,2.93,3.32
4997,4.50,0.98,2.15
5018,4.11,2.54,3.71
5039,4.50,4.11,1.76
5060,1.76,3.71,2.54
5081,2.93,3.71,3.32
5102,1.76,3.71,4.11
5123,2.54,3.71,4.50
5144,1.76,3.71,3.71
5165,4.89,2.15,2.93
5186,2.93,3.32,4.89
5207,3.71,3.32,3.71
5228,1.76,4.11,2.15
5249,2.15,2.54,2.15
5271,2.54,0.98,4.11
5292,4.11,1.37,2.93
5313,2.54,1.76,4.11
5334,1.76,3.32,2.15
5355,3.71,2.54,4.50
5378,3.71,2.93,2.15
5399,4.89,3.71,2.93
5420,4.11,3.71,2.15
5441,2.15,2.54,2.15
5462,3.71,0.98,1.76
5483,2.15,1.76,2.15
5504,4.89,0.98,2.54
5525,4.50,0.59,1.76
5546,4.50,1.76,3.71
5567,4.50,0.98,2.93
5588,3.32,1.37,3.32
5609,4.50,3.32,1.76
5630,4.50,0.98,4.11
5651,3.32,1.76,3.32
5672,2.15,3.32,3.32
5694,4.50,4.11,4.11
5715,2.54,2.54,2.15
5736,3.32,3.71,4.11
5757,3.71,0.98,4.89
5778,4.11,2.54,3.32
5799,2.93,1.76,2.15
5820,3.71,3.71,3.71
5841,4.11,2.15,4.50
5862,4.11,0.59,2.15
5883,4.89,3.32,4.11
5906,4.50,1.37,3.32
5927,4.50,0.98,3.71
5948,2.15,4.11,3.32
5969,1.76,3.32,3.32
5990,4.89,1.37,3.71
6011,2.15,1.76,3.71
6033,2.93,2.15,2.93
6054,4.11,0.98,4.50
6075,2.93,1.37,2.15
6096,4.50,1.37,4.50
6117,2.54,1.37,2.93
6138,4.50,2.54,4.11
6159,2.54,3.71,4.11
6180,3.71,1.76,2.54
6201,2.15,1.37,4.89
6222,2.15,1.76,3.71
6243,2.15,4.11,3.71
6264,3.32,2.93,2.15
6285,4.11,4.11,3.71
6306,2.15,3.32,3.71
6327,4.11,2.15,2.54
6348,2.54,0.98,2.15
6369,2.15,4.11,3.71
6390,4.50,1.37,4.50
6414,2.93,1.76,4.89
6435,1.76,3.71,2.15
6456,2.93,1.37,4.11
6477,4.11,0.98,1.76
6498,2.93,0.98,4.89
6519,2.54,2.15,1.76
6540,3.32,0.98,2.15
6561,1.76,3.71,2.54
6582,2.54,0.98,2.15
6603,2.15,0.98,2.54
6624,2.93,3.32,4.50
6645,2.93,2.93,2.15
6666,2.54,2.15,4.50
6687,1.76,2.93,3.71
6708,2.54,0.98,2.93
6729,4.89,3.71,2.15
6750,2.15,3.32,3.32
6771,3.71,1.76,2.93
6792,2.54,2.93,3.32
6813,4.50,0.98,3.71
6834,3.32,3.32,4.50
6855,4.50,3.32,3.71
6876,2.15,2.93,1.76
6897,4.11,0.98,2.15
6924,3.71,2.54,2.15
6945,4.50,3.32,4.11
6966,2.15,3.71,3.32
6987,4.89,0.98,2.15
7008,2.15,2.93,4.11
7029,2.15,3.32,4.11
7050,3.71,0.98,2.15
7071,2.15,3.32,4.50
7092,4.50,0.98,3.71
7113,4.89,0.98,3.71
7134,2.54,0.98,2.93
7155,4.50,2.15,4.11
7176,3.32,2.15,2.15
7197,4.11,0.98,4.11
7218,4.50,2.54,1.76
7239,2.15,0.98,1.76
7260,4.50,1.37,1.37
7281,4.50,1.37,4.50
7302,3.32,2.93,3.32
7324,3.32,3.32,3.71
7345,3.32,3.32,1.76
7366,2.15,3.71,4.50
7387,1.76,0.98,3.71
7408,4.50,1.37,4.50
7429,2.15,2.54,3.32
7452,1.76,2.54,4.11
7473,3.32,3.32,4.50
7494,4.50,0.98,2.15
7515,4.89,0.98,1.76
7536,3.32,4.11,2.15
7557,2.15,3.71,4.50
7578,1.76,3.32,4.11
7599,1.76,4.11,2.93
7620,3.71,0.98,1.76
7641,4.11,1.37,2.15
7662,1.76,3.32,4.11
7683,3.32,1.37,3.71
7704,4.89,2.15,4.11
7726,1.76,1.76,3.71
7747,2.93,1.37,2.93
7768,2.54,4.11,3.32
7789,4.50,0.98,2.15
7810,1.76,2.15,4.50
7831,1.76,2.93,1.76
7852,2.15,1.37,2.54
7873,4.50,3.32,3.71
7894,2.54,2.15,4.50
7915,4.11,1.37,4.11
7936,2.54,1.37,3.71
7959,3.32,4.11,1.76
7980,2.54,2.54,3.32
8001,2.15,3.71,4.11
8022,1.37,3.71,4.50
8043,4.50,1.76,4.89
8064,2.54,1.37,4.89
8085,4.89,3.71,3.71
8106,3.32,1.76,2.93
8127,2.15,3.32,2.15
8149,3.71,3.71,2.15
8170,4.89,1.37,1.76
8191,3.32,1.37,2.93
8212,2.54,3.71,4.89
8233,4.50,2.15,4.50
8254,1.76,2.54,2.93
8275,3.32,0.98,2.15
8296,2.15,2.54,3.32
8317,3.32,1.76,3.71
8338,4.89,0.98,4.89
8359,4.11,3.71,4.50
8380,2.54,2.15,2.15
8401,2.93,1.76,2.15
8422,4.50,0.59,2.15
8443,4.11,3.32,4.89
8464,4.50,2.93,4.11
8487,4.50,1.76,1.76
8508,2.15,2.15,4.11
8529,2.54,2.93,4.50
8550,4.50,0.98,3.71
8571,4.11,3.71,2.93
8593,2.15,1.37,4.11
8614,2.15,3.71,3.32
8635,4.50,2.93,4.11
8656,4.50,1.37,2.15
8677,4.11,1.76,3.71
8698,2.15,1.37,2.93
8719,4.89,2.54,2.93
8740,2.93,1.76,2.93
8761,4.89,2.15,4.50
8782,4.89,2.93,3.32
8803,2.93,3.71,3.32
8824,3.32,3.32,3.71
8845,4.11,3.32,2.15
8866,2.93,1.76,4.50
8887,2.93,3.71,4.50
8908,2.15,1.76,4.50
8929,3.32,4.11,2.15
8950,2.93,3.71,2.15
8971,4.89,1.37,3.71
8995,4.89,4.11,2.93
9016,4.89,1.76,4.50
9037,3.32,0.98,3.71
9058,2.93,3.32,2.15
9079,2.54,1.76,2.93
9100,1.76,1.76,2.15
9121,4.11,1.76,4.11
9142,4.89,3.32,3.32
9163,4.50,4.11,4.11
9184,4.89,4.11,4.11
9205,2.93,2.54,2.54
9226,2.54,0.98,1.76
9247,2.15,4.11,2.93
9268,2.54,3.71,4.50
9289,2.54,1.37,4.11
9310,1.76,4.11,3.71
9331,3.32,0.98,2.15
9352,4.50,3.32,2.15
9373,3.32,3.71,2.15
9394,4.11,0.98,1.76
9415,4.11,4.11,4.50
9436,3.71,2.15,4.89
9457,2.54,3.71,4.11
9478,4.11,0.98,4.89
9502,2.93,2.93,3.71
9523,4.11,2.15,4.89
9544,2.93,1.37,1.76
9565,1.76,0.98,2.15
9586,3.32,2.54,2.54
9607,3.32,4.11,4.11
9628,5.67,2.54,2.15
9649,1.37,2.54,2.15
9670,2.54,2.93,2.93
9691,5.28,3.71,2.93
9712,0.98,4.50,1.37
9733,5.28,2.93,4.89
9754,4.89,2.93,2.15
9775,1.37,4.11,3.32
9796,5.67,0.98,1.76
9817,2.15,3.32,2.15
9838,4.89,4.50,4.89
9859,2.93,2.93,4.11
9880,2.54,4.11,2.93
9901,1.37,3.71,2.54
9922,2.54,4.89,4.89
9943,2.93,4.11,0.98
9964,2.15,4.89,2.54
9985,1.76,4.89,1.76
10006,1.37,0.20,1.37
10030,4.50,4.11,4.11
10051,1.37,0.20,3.32
10072,2.54,4.50,4.50
10093,2.54,0.59,2.15
10114,5.67,3.32,4.50
10135,5.67,4.50,1.37
10156,1.37,2.93,1.76
10177,3.32,2.15,1.76
10198,1.37,4.89,1.76
10219,5.28,3.71,4.89
10240,1.76,2.93,3.71
10261,1.37,4.50,4.89
10282,1.37,4.50,1.76
10303,5.28,0.20,5.28
10324,2.15,4.50,1.37
10345,2.54,0.59,1.76
10366,2.54,0.59,4.50
10387,1.76,3.32,1.37
10408,1.37,0.98,1.37
10429,4.11,1.37,4.11
10450,4.50,3.71,2.54
10471,4.11,4.11,5.28
10492,0.98,1.37,2.15
10516,0.98,4.89,4.11
10537,1.76,4.50,4.50
10558,4.50,3.32,3.32
10579,3.71,2.54,2.15
10600,3.71,3.32,1.37
10621,4.89,2.93,1.37
10642,2.54,4.50,2.54
10663,2.15,3.32,1.37
10684,2.93,2.54,4.50
10705,2.54,2.93,4.89
10726,5.67,1.37,2.15
10747,1.76,4.89,4.11
10768,2.15,0.59,3.32
10789,3.71,2.54,4.89
10810,2.93,2.15,4.50
10831,3.71,0.59,2.54
10852,3.32,2.54,1.76
10873,0.98,0.59,1.37
10894,1.37,1.37,4.89
10915,2.15,4.50,4.11
10936,4.89,4.50,1.37
10957,1.37,4.11,3.32
10978,4.50,0.20,5.28
11002,1.76,2.93,5.28
11023,3.71,3.71,1.76
11044,4.50,2.93,2.54
11065,5.67,2.93,1.37
11086,2.54,2.93,2.54
11107,3.32,3.71,4.89
11128,0.98,4.11,4.11
11149,4.89,-0.20,2.93
11170,1.76,3.32,2.15
11191,4.89,1.37,2.15
11212,5.28,0.59,4.89
11233,1.37,0.59,5.28
11254,5.67,0.98,4.11
11275,0.98,2.93,2.54
11296,5.67,3.71,4.50
11317,3.32,-0.20,5.28
11338,4.11,0.59,2.93
11359,2.15,3.71,2.93
11380,3.32,4.50,4.50
11401,1.76,2.15,4.89
11422,3.71,2.15,1.76
11443,2.93,2.93,3.71
11464,2.15,1.37,1.76
11488,2.93,0.98,4.89
11509,4.11,2.54,4.50
11530,2.15,4.11,2.15
11551,4.50,0.98,4.50
11572,2.54,3.71,2.93
11593,4.11,3.32,2.15
11614,4.11,1.37,2.93
11635,2.54,4.11,4.50
11656,4.50,0.98,4.11
11677,1.76,0.59,1.76
11698,2.15,0.98,1.37
11719,2.54,2.54,1.76
11740,2.15,4.11,3.32
11761,1.76,3.32,2.54
11782,2.15,2.93,4.50
11803,4.11,3.71,1.76
11824,4.89,0.59,2.15
11845,1.76,2.54,4.89
11866,1.76,4.11,2.93
11887,4.50,2.54,4.89
11908,2.15,2.15,2.15
11929,1.76,3.71,4.11
11950,2.15,1.76,2.15
11972,3.32,3.71,1.76
11995,3.32,4.11,3.71
12016,4.11,1.37,2.54
12037,4.50,1.37,4.50
12058,2.15,2.54,3.71
12079,1.76,1.37,2.15
12100,4.11,1.76,2.15
12121,2.15,3.71,2.15
12142,4.50,3.71,4.50
12163,4.89,3.71,4.50
12184,1.76,3.32,2.15
12205,4.89,2.93,1.76
12226,3.32,2.93,2.93
12247,2.15,4.11,2.93
12268,1.76,0.98,2.54
12290,2.15,4.50,4.89
12311,1.76,3.32,1.37
12332,2.54,0.59,1.76
12353,3.71,1.76,4.11
12374,1.76,3.71,3.32
12395,2.54,3.71,3.32
12416,3.71,2.15,3.71
12437,4.11,0.98,4.11
12458,4.89,1.37,2.15
12481,4.89,2.54,3.71
12502,4.89,1.37,4.89
12523,5.28,2.15,3.71
12544,4.11,0.20,4.11
12565,1.76,1.37,4.50
12586,1.37,1.37,3.71
12607,2.93,4.11,2.54
12628,4.11,3.32,4.50
12649,4.11,4.11,1.76
12670,2.15,0.98,1.76
12691,4.11,2.15,1.37
12712,4.89,2.93,4.50
12733,4.11,2.15,2.54
12754,4.11,2.15,3.32
12775,3.32,2.93,3.32
12797,4.50,2.54,1.76
12818,1.76,2.54,3.71
12839,2.93,1.37,4.11
12860,1.76,1.37,4.50
12881,4.50,0.98,4.89
12902,3.32,4.11,2.15
12923,2.93,2.15,3.71
12944,2.93,2.93,2.93
12967,3.32,3.71,4.50
12988,3.32,1.76,3.71
13009,1.76,4.11,2.54
13030,4.50,0.98,4.89
13051,4.50,2.54,4.50
13072,1.76,2.93,2.93
13093,5.28,4.11,4.50
13114,1.37,3.71,3.32
13135,4.11,2.93,1.76
13156,2.15,2.15,2.15
13177,2.54,2.15,4.11
13198,2.54,0.59,3.32
13220,2.15,3.71,2.15
13241,1.37,3.32,2.15
13262,4.11,3.32,4.50
13283,1.76,2.54,2.54
13304,2.15,1.37,2.15
13325,1.76,0.98,2.54
13346,2.15,2.54,2.15
13367,4.89,0.98,4.50
