timestamp (ms), x (G), y (G), z (G)
44,3.71,3.32,3.32
55,2.93,2.15,2.54
66,2.93,2.15,3.32
77,3.71,2.54,4.11
88,2.93,2.54,2.54
99,2.54,2.93,3.71
110,4.11,1.76,2.15
121,3.32,1.37,3.71
132,2.15,3.32,2.54
143,4.11,2.93,4.11
154,2.15,2.93,4.11
165,2.54,1.37,2.93
176,2.93,2.15,3.32
187,3.32,2.93,3.32
198,3.71,2.15,2.93
210,4.11,1.76,3.32
221,3.71,1.76,2.15
232,3.32,2.93,3.32
243,2.93,1.76,2.54
254,2.93,2.93,4.11
265,3.71,2.54,2.93
276,3.32,2.93,3.71
287,4.11,1.37,4.11
298,2.93,2.15,3.32
309,2.15,1.76,2.93
322,2.54,2.15,4.11
333,2.54,3.32,3.71
345,2.54,3.32,3.32
356,4.11,2.54,3.32
367,2.15,1.37,4.11
378,3.71,1.37,2.93
389,3.71,2.54,4.50
400,4.50,2.93,2.54
411,1.76,1.37,4.11
422,2.15,2.93,3.32
433,2.93,2.54,2.54
444,2.93,1.76,2.54
455,4.11,1.76,2.93
466,2.54,1.76,3.71
477,3.71,2.93,4.11
488,2.15,2.15,3.71
499,2.54,1.37,2.15
510,2.54,1.76,3.71
521,3.71,1.37,2.54
532,3.32,1.37,2.54
543,2.54,1.76,3.71
554,3.71,2.54,3.71
565,3.71,3.32,4.11
576,2.15,1.37,4.11
587,2.54,3.71,2.93
601,3.71,1.37,2.93
612,2.54,3.32,3.32
623,3.71,2.54,3.32
634,3.32,2.54,3.71
645,3.71,2.93,2.54
656,3.32,2.54,2.54
667,2.54,1.76,3.32
678,3.71,3.32,2.54
689,2.54,2.93,4.11
700,4.11,2.54,2.93
711,3.71,2.15,4.11
722,2.54,2.54,4.11
733,3.71,2.93,3.71
744,2.93,2.93,2.54
755,2.54,1.76,2.54
766,3.71,1.37,2.54
777,3.71,1.76,3.71
788,3.71,1.76,2.54
799,3.71,1.76,2.93
810,3.71,2.54,3.32
821,4.11,2.54,3.32
832,4.50,2.15,2.54
844,4.11,3.32,3.71
855,3.32,2.15,2.93
866,2.15,2.93,4.50
877,2.54,1.37,2.93
890,4.11,2.54,2.93
901,2.54,2.15,2.93
912,2.93,2.93,2.54
923,4.11,2.54,3.32
934,3.71,2.54,2.54
945,4.11,2.54,2.54
956,2.15,3.32,2.15
968,4.50,2.15,2.93
979,3.32,2.54,4.50
990,3.32,1.76,4.11
1001,4.11,1.76,4.11
1012,2.93,1.76,2.54
1023,2.15,3.32,2.93
1034,2.93,1.37,2.93
1045,2.15,3.32,2.54
1056,2.93,2.93,4.11
1067,3.32,1.76,2.93
1078,3.71,3.71,4.11
1089,3.71,2.54,4.11
1100,3.71,2.54,3.32
1111,4.11,1.76,4.11
1122,4.11,2.54,2.93
1133,2.54,2.93,2.93
1144,2.93,2.93,4.50
1155,2.93,2.15,3.71
1169,2.93,2.54,2.93
1180,2.54,3.32,2.93
1191,3.71,1.76,4.11
1202,3.71,2.93,4.11
1213,3.32,2.93,3.32
1224,3.32,3.32,2.54
1235,2.54,2.93,2.93
1246,3.71,2.93,2.93
1257,2.93,2.93,3.71
1268,3.71,1.76,4.11
1279,2.15,1.37,4.11
1290,3.71,2.93,3.32
1301,2.54,1.37,4.11
1312,4.11,3.32,3.32
1323,2.54,3.32,4.50
1334,2.54,2.54,2.54
1345,3.32,2.15,3.71
1356,2.93,3.32,3.71
1367,2.54,2.93,2.93
1378,3.71,2.93,3.71
1389,2.93,1.76,3.71
1400,3.71,2.93,3.71
1411,2.93,2.93,2.93
1422,2.54,1.76,2.93
1436,4.50,1.37,2.93
1447,4.11,2.54,3.71
1458,3.32,2.93,4.11
1469,4.11,1.76,2.93
