timestamp (ms), x (G), y (G), z (G)
44,2.93,2.93,3.32
55,2.93,2.15,4.11
66,4.11,1.37,2.93
77,2.93,1.76,4.50
88,3.32,1.37,2.54
99,3.32,0.98,4.11
110,1.76,3.71,4.11
121,2.93,1.37,4.50
132,2.15,2.15,2.54
143,2.93,2.93,3.71
154,3.32,2.15,3.71
165,3.71,3.32,2.54
177,2.15,3.71,4.50
188,4.50,0.98,3.71
199,2.54,1.37,2.93
210,3.32,3.71,4.11
221,4.11,1.76,2.54
232,2.54,2.54,3.71
243,2.15,3.71,4.50
254,4.11,1.37,4.11
265,1.76,2.54,4.11
276,4.11,2.93,2.15
287,3.32,2.15,4.11
298,2.54,1.76,3.32
309,2.54,3.32,2.54
322,2.54,3.71,2.54
333,3.32,1.37,2.93
344,4.50,2.15,2.93
355,3.71,3.32,4.50
367,4.50,0.98,2.15
378,2.54,0.98,4.50
389,2.54,2.93,3.32
400,2.15,3.71,2.93
411,2.54,3.32,2.93
422,4.50,3.32,2.93
433,2.93,3.71,4.50
444,2.15,3.71,4.11
455,2.54,1.37,4.11
466,2.15,3.32,4.11
477,4.50,2.54,2.54
488,1.76,1.76,4.11
499,4.11,1.76,4.11
510,4.50,2.15,4.50
521,2.15,2.54,4.11
532,4.50,1.37,2.54
543,2.54,3.71,2.54
554,4.89,3.71,2.54
565,4.11,3.32,4.50
576,4.50,1.76,4.50
587,4.50,2.15,4.89
601,4.11,2.15,4.50
612,4.11,1.76,2.15
623,4.50,4.11,2.54
634,3.32,2.93,2.54
645,2.93,2.15,3.32
656,2.54,3.32,2.93
667,2.15,2.93,4.11
678,2.15,3.71,2.54
689,1.76,2.15,2.93
700,4.50,1.76,4.50
711,3.32,3.71,2.93
722,2.93,2.15,2.54
733,2.15,3.71,2.54
744,2.54,1.37,4.11
755,4.50,2.93,3.71
766,3.32,1.37,2.54
777,3.71,0.98,4.11
788,2.54,2.93,3.71
799,2.54,2.93,4.50
810,4.50,0.98,2.93
821,2.54,2.15,2.15
832,4.50,2.54,3.71
843,3.71,2.93,2.54
854,2.54,0.98,4.50
865,3.71,1.37,4.50
876,3.32,2.54,3.71
890,2.54,1.37,3.32
901,4.50,1.76,3.32
912,1.76,3.71,4.89
923,1.76,2.15,4.50
934,4.11,0.98,2.54
945,2.15,2.15,4.11
956,2.93,1.37,4.11
967,4.11,3.32,3.71
978,2.15,2.15,2.93
989,2.54,0.98,4.50
1000,3.32,2.93,3.71
1011,4.89,2.93,3.71
1022,4.50,3.71,2.54
1033,2.93,2.93,2.15
1044,2.54,3.32,4.89
1056,4.11,2.15,2.54
1067,3.71,2.54,3.32
1078,4.11,2.54,4.50
1089,2.15,2.93,3.71
1100,4.50,1.76,2.93
1111,4.11,3.32,3.71
1122,2.54,2.54,4.50
1133,2.54,2.54,2.93
1144,2.15,2.54,3.32
1155,3.32,1.37,4.11
1168,4.11,1.76,2.54
1179,4.89,3.32,2.93
1190,2.15,1.76,2.54
1202,3.32,2.93,3.32
1213,2.93,3.32,2.15
1224,3.32,3.32,4.50
1235,2.15,2.93,2.93
1246,2.54,0.98,4.89
1257,4.11,1.76,3.71
1268,3.71,2.15,2.93
1279,2.15,3.71,2.15
1290,2.54,4.11,4.11
1301,2.15,3.32,2.54
1312,2.93,3.71,2.54
1323,2.15,2.54,2.54
1334,3.71,2.15,4.50
1345,4.89,1.37,2.93
1356,3.32,1.37,4.50
1367,2.93,3.32,4.50
1378,2.15,3.32,3.32
1389,3.71,2.15,2.93
1401,4.89,0.98,2.15
1412,4.50,3.32,4.50
1423,4.50,3.71,3.32
1436,2.93,3.71,2.54
1447,2.93,1.37,4.11
1458,4.11,3.71,2.15
1469,4.89,1.37,4.50
1481,3.71,3.71,2.54
1492,3.71,0.98,3.71
1503,3.71,1.37,3.32
1514,3.71,3.32,4.89
1525,2.15,3.71,2.54
1536,4.11,2.15,4.50
1547,2.15,3.71,2.54
1558,2.15,3.32,4.11
1569,2.15,3.32,4.50
1580,4.11,4.11,2.15
1591,3.71,1.76,4.50
1602,3.32,2.93,3.71
1613,4.11,1.37,3.32
1624,3.32,3.32,4.11
1635,2.93,1.37,4.89
1647,2.93,3.32,2.93
1658,4.11,3.71,2.93
1669,2.54,2.54,4.11
1680,3.71,2.15,3.71
1691,3.71,2.93,2.54
1705,3.32,3.32,2.54
1716,4.11,1.37,2.93
1727,2.15,2.15,2.15
1738,4.11,2.15,2.15
1749,2.54,1.37,4.11
1760,3.32,3.32,3.32
1771,3.32,3.71,2.15
1782,4.89,0.98,3.32
1793,4.50,3.32,4.50
1804,2.93,1.37,3.71
1815,2.54,0.98,4.11
1826,4.11,1.37,4.11
1837,4.11,2.93,2.15
1848,2.54,2.54,4.11
1859,2.54,2.15,2.54
1871,1.76,3.32,3.71
1882,2.93,2.93,2.15
1893,2.15,1.76,2.93
1904,2.15,1.76,2.93
1915,3.32,3.32,4.11
1926,2.54,3.32,4.11
1937,4.50,4.11,3.32
1948,2.54,3.32,4.11
1959,2.93,1.76,3.32
1970,2.54,2.54,3.71
1984,4.50,1.76,4.50
1995,3.71,1.76,2.15
